name,type,position_x,position_y,position_z,size_x,size_y,size_z,color
POS-0212-886-CBD-67049,circle,0.67048,0.839,0.111851,0.01,0,0,#ff0000
POS-0212-886-CBD-67049,circle,0.67048,0.839,0.111851,0.01,0,0,#ff0000
POS-0211-886-CBD-67049,circle,0.67048,0.833,0.111838,0.01,0,0,#ff0000
POS-0211-886-CBD-67049,circle,0.67048,0.833,0.111838,0.01,0,0,#ff0000
POS-0211-886-CBD-67049,circle,0.67048,0.833,0.111838,0.01,0,0,#ff0000
POS-0231-886-CBD-67049,circle,0.6708,0.84355,0.133452,0.01,0,0,#ff0000
POS-0231-886-CBD-67049,circle,0.6708,0.84355,0.133452,0.01,0,0,#ff0000
POS-0231-886-CBD-67049,circle,0.6708,0.84355,0.133452,0.01,0,0,#ff0000
POS-0231-886-CBD-67049,circle,0.6708,0.84355,0.133452,0.01,0,0,#ff0000
POS-0241-886-CBD-67049,circle,0.6708,0.84065,0.133446,0.01,0,0,#ff0000
POS-0241-886-CBD-67049,circle,0.6708,0.84065,0.133446,0.01,0,0,#ff0000
POS-0241-886-CBD-67049,circle,0.6708,0.84065,0.133446,0.01,0,0,#ff0000
POS-0241-886-CBD-67049,circle,0.6708,0.84065,0.133446,0.01,0,0,#ff0000
POS-0217-886-CBD-67049,circle,0.6708,0.8475,0.13366,0.01,0,0,#ff0000
POS-0217-886-CBD-67049,circle,0.6708,0.8475,0.13366,0.01,0,0,#ff0000
POS-0121-886-CBD-67056,circle,0.6694,0.84065,0.133446,0.01,0,0,#ff0000
POS-0121-886-CBD-67056,circle,0.6694,0.84065,0.133446,0.01,0,0,#ff0000
POS-0121-886-CBD-67056,circle,0.6694,0.84065,0.133446,0.01,0,0,#ff0000
POS-0111-886-CBD-67056,circle,0.6694,0.84355,0.133452,0.01,0,0,#ff0000
POS-0111-886-CBD-67056,circle,0.6694,0.84355,0.133452,0.01,0,0,#ff0000
POS-0111-886-CBD-67056,circle,0.6694,0.84355,0.133452,0.01,0,0,#ff0000
POS-0111-886-CBD-67056,circle,0.6694,0.84355,0.133452,0.01,0,0,#ff0000
POS-0121-886-CBD-67056,circle,0.6694,0.84065,0.133446,0.01,0,0,#ff0000
POS-0102-886-CBD-67056,circle,0.6694,0.8475,0.13366,0.01,0,0,#ff0000
POS-0102-886-CBD-67056,circle,0.6694,0.8475,0.13366,0.01,0,0,#ff0000
POS-0401-886-CBD-67061,circle,0.63968,0.993,0.101057,0.01,0,0,#ff0000
POS-0401-886-CBD-67061,circle,0.63968,0.993,0.101057,0.01,0,0,#ff0000
POS-0401-886-CBD-67061,circle,0.63968,0.993,0.101057,0.01,0,0,#ff0000
POS-0402-886-CBD-67061,circle,0.63905,0.9918,0.102257,0.01,0,0,#ff0000
POS-0411-886-CBD-67061,circle,0.645898,0.993,0.101057,0.01,0,0,#ff0000
POS-0410-886-CBD-67061,circle,0.64329,0.993,0.101057,0.01,0,0,#ff0000
POS-0410-886-CBD-67061,circle,0.64329,0.993,0.101057,0.01,0,0,#ff0000
POS-0411-886-CBD-67061,circle,0.645898,0.993,0.101057,0.01,0,0,#ff0000
POS-0411-886-CBD-67061,circle,0.645898,0.993,0.101057,0.01,0,0,#ff0000
POS-0410-886-CBD-67061,circle,0.64329,0.993,0.101057,0.01,0,0,#ff0000
POS-0408-886-CBD-67061,circle,0.646121,0.9885,0.100684,0.01,0,0,#ff0000
POS-0408-886-CBD-67061,circle,0.646121,0.9885,0.100684,0.01,0,0,#ff0000
POS-0408-886-CBD-67061,circle,0.646121,0.9885,0.100684,0.01,0,0,#ff0000
POS-0407-886-CBD-67061,circle,0.642227,0.9885,0.100684,0.01,0,0,#ff0000
POS-0409-886-CBD-67061,circle,0.643923,0.9885,0.100684,0.01,0,0,#ff0000
POS-0409-886-CBD-67061,circle,0.643923,0.9885,0.100684,0.01,0,0,#ff0000
POS-0409-886-CBD-67061,circle,0.643923,0.9885,0.100684,0.01,0,0,#ff0000
POS-0407-886-CBD-67061,circle,0.642227,0.9885,0.100684,0.01,0,0,#ff0000
POS-0407-886-CBD-67061,circle,0.642227,0.9885,0.100684,0.01,0,0,#ff0000
POS-0405-886-CBD-67061,circle,0.644323,0.9864,0.100684,0.01,0,0,#ff0000
POS-0406-886-CBD-67061,circle,0.642327,0.9864,0.100684,0.01,0,0,#ff0000
POS-0406-886-CBD-67061,circle,0.642327,0.9864,0.100684,0.01,0,0,#ff0000
POS-0405-886-CBD-67061,circle,0.644323,0.9864,0.100684,0.01,0,0,#ff0000
POS-0406-886-CBD-67061,circle,0.642327,0.9864,0.100684,0.01,0,0,#ff0000
POS-0315-886-CBD-67061,circle,0.654,0.9877,0.100684,0.01,0,0,#ff0000
POS-0315-886-CBD-67061,circle,0.654,0.9877,0.100684,0.01,0,0,#ff0000
POS-0315-886-CBD-67061,circle,0.654,0.9877,0.100684,0.01,0,0,#ff0000
POS-0314-886-CBD-67061,circle,0.6505,0.9877,0.100684,0.01,0,0,#ff0000
POS-0314-886-CBD-67061,circle,0.6505,0.9877,0.100684,0.01,0,0,#ff0000
POS-0314-886-CBD-67061,circle,0.6505,0.9877,0.100684,0.01,0,0,#ff0000
POS-0404-886-CBD-67061,circle,0.6475,0.9864,0.100684,0.01,0,0,#ff0000
POS-0404-886-CBD-67061,circle,0.6475,0.9864,0.100684,0.01,0,0,#ff0000
POS-0404-886-CBD-67061,circle,0.6475,0.9864,0.100684,0.01,0,0,#ff0000
POS-0202-886-P-67307,circle,0.642327,0.9835,0.100684,0.01,0,0,#ff0000
POS-0202-886-P-67307,circle,0.642327,0.9835,0.100684,0.01,0,0,#ff0000
POS-0202-886-P-67307,circle,0.642327,0.9835,0.100684,0.01,0,0,#ff0000
POS-0103-886-CBD-67059,circle,0.654,0.9227,0.100684,0.01,0,0,#ff0000
POS-0103-886-CBD-67059,circle,0.654,0.9227,0.100684,0.01,0,0,#ff0000
POS-0103-886-CBD-67059,circle,0.654,0.9227,0.100684,0.01,0,0,#ff0000
POS-0101-886-CBD-67059,circle,0.6475,0.9214,0.100684,0.01,0,0,#ff0000
POS-0101-886-CBD-67059,circle,0.6475,0.9214,0.100684,0.01,0,0,#ff0000
POS-0101-886-CBD-67059,circle,0.6475,0.9214,0.100684,0.01,0,0,#ff0000
POS-0102-886-CBD-67059,circle,0.6505,0.9227,0.100684,0.01,0,0,#ff0000
POS-0102-886-CBD-67059,circle,0.6505,0.9227,0.100684,0.01,0,0,#ff0000
POS-0102-886-CBD-67059,circle,0.6505,0.9227,0.100684,0.01,0,0,#ff0000
POS-0202-886-CBD-67061,circle,0.63968,0.928,0.101057,0.01,0,0,#ff0000
POS-0201-886-CBD-67061,circle,0.63905,0.9268,0.102257,0.01,0,0,#ff0000
POS-0202-886-CBD-67061,circle,0.63968,0.928,0.101057,0.01,0,0,#ff0000
POS-0202-886-CBD-67061,circle,0.63968,0.928,0.101057,0.01,0,0,#ff0000
POS-0203-886-CBD-67061,circle,0.64329,0.928,0.101057,0.01,0,0,#ff0000
POS-0203-886-CBD-67061,circle,0.64329,0.928,0.101057,0.01,0,0,#ff0000
POS-0204-886-CBD-67061,circle,0.645898,0.928,0.101057,0.01,0,0,#ff0000
POS-0203-886-CBD-67061,circle,0.64329,0.928,0.101057,0.01,0,0,#ff0000
POS-0204-886-CBD-67061,circle,0.645898,0.928,0.101057,0.01,0,0,#ff0000
POS-0204-886-CBD-67061,circle,0.645898,0.928,0.101057,0.01,0,0,#ff0000
